epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,5879.53,0.94277,0.74798,1.23382,0.81861,0.69974,0.77751,0.5205,1.20521,0.87719,1.43923,0.0003466,0.0003466,0.0003466
101,6069.45,0.95067,0.74857,1.24117,0.7997,0.70886,0.77987,0.52303,1.20454,0.87326,1.43958,0.00034,0.00034,0.00034
102,6257.4,0.9292,0.73474,1.22206,0.8127,0.70882,0.78095,0.52339,1.20566,0.86572,1.43998,0.0003334,0.0003334,0.0003334
103,6446.7,0.92329,0.73129,1.22313,0.80642,0.706,0.7784,0.52575,1.20633,0.86752,1.43926,0.0003268,0.0003268,0.0003268
104,6636.94,0.92544,0.72181,1.22255,0.78764,0.7253,0.78233,0.52701,1.20546,0.87114,1.43839,0.0003202,0.0003202,0.0003202
105,6825.8,0.93214,0.72552,1.22059,0.78469,0.71925,0.77876,0.52286,1.21074,0.87591,1.4476,0.0003136,0.0003136,0.0003136
106,7014.67,0.9193,0.71822,1.21661,0.7979,0.71684,0.78237,0.52626,1.2062,0.87037,1.44264,0.000307,0.000307,0.000307
107,7203.34,0.9218,0.70642,1.21579,0.81192,0.70885,0.78373,0.52837,1.20121,0.8702,1.44152,0.0003004,0.0003004,0.0003004
108,7393.43,0.90817,0.7041,1.20886,0.80607,0.71036,0.78296,0.52676,1.20256,0.87026,1.43904,0.0002938,0.0002938,0.0002938
109,7581.85,0.91054,0.7056,1.20884,0.79895,0.71467,0.78332,0.52743,1.19605,0.86141,1.43679,0.0002872,0.0002872,0.0002872
110,7770.04,0.91245,0.70819,1.21142,0.81253,0.70308,0.78353,0.52781,1.19798,0.85356,1.44002,0.0002806,0.0002806,0.0002806
111,2105.41,0.89334,0.68752,1.19919,0.8252,0.69854,0.78665,0.52837,1.19574,0.85231,1.44535,0.000274,0.000274,0.000274
112,2302.02,0.90949,0.6932,1.21607,0.81064,0.70609,0.78296,0.52802,1.19383,0.85749,1.44487,0.0002674,0.0002674,0.0002674
113,2491.47,0.90197,0.6862,1.20062,0.81138,0.70517,0.78088,0.52777,1.19752,0.85796,1.44584,0.0002608,0.0002608,0.0002608
114,2680.24,0.9016,0.68642,1.20049,0.80634,0.70896,0.78146,0.52739,1.1965,0.85752,1.45053,0.0002542,0.0002542,0.0002542
115,2869.23,0.89222,0.68567,1.19773,0.81192,0.70316,0.77727,0.52414,1.19789,0.86385,1.45161,0.0002476,0.0002476,0.0002476
116,3058.47,0.88118,0.67533,1.19734,0.81815,0.69887,0.77765,0.52389,1.20123,0.87093,1.45571,0.000241,0.000241,0.000241
117,3247.89,0.87625,0.67407,1.18899,0.81708,0.70031,0.779,0.52494,1.20279,0.86771,1.4522,0.0002344,0.0002344,0.0002344
118,3437.16,0.88208,0.67251,1.19011,0.81282,0.70692,0.7781,0.52683,1.20203,0.87156,1.45255,0.0002278,0.0002278,0.0002278
119,3624.48,0.86308,0.64893,1.18238,0.81003,0.71074,0.77899,0.5278,1.199,0.86843,1.44927,0.0002212,0.0002212,0.0002212
120,3810.57,0.87487,0.65936,1.18111,0.80457,0.70992,0.77835,0.5275,1.19596,0.87304,1.4493,0.0002146,0.0002146,0.0002146
121,3996.73,0.87998,0.6639,1.18816,0.81532,0.70294,0.77873,0.52523,1.19905,0.87235,1.45777,0.000208,0.000208,0.000208
122,4183.56,0.86437,0.65083,1.17993,0.8283,0.6924,0.77911,0.52697,1.19806,0.86839,1.46071,0.0002014,0.0002014,0.0002014
